Gene	Experiment	Gene_log2FoldChange	Gene_pvalue	asRNA_ids	asRNA_log2FoldChange	asRNA_pvalue
SACI_RS00045	DESeq2_80C_pH_3_5_log	0.37	0.025440600216453	asRNA_2, asRNA_3, asRNA_4	-1.08, 0.53, -0.64	0.423274411079185, 0.616478283247168, 0.45023284519178
SACI_RS00045	DESeq2_80C_pH_3_5_stat	0.7	2.12418277532281e-05	asRNA_2, asRNA_3, asRNA_4	-0.47, -2.44, -1.93	0.711757979112456, 0.10613148716236, 0.0585062271284453
SACI_RS00045	DESeq2_RS0060KO_early	-0.02	0.918164144462329	asRNA_2, asRNA_3, asRNA_4	-0.23, 0.49, -0.12	0.654203740397324, 0.295380925018695, 0.8040222093443
SACI_RS00045	DESeq2_RS0060KO_late	-0.41	0.022699092292838	asRNA_2, asRNA_3, asRNA_4	-0.04, -0.22, -0.28	0.935548493792325, 0.670172240253982, 0.579521498523125
SACI_RS00045	DESeq2_RS0575KO_early	-0.14	0.437871488687285	asRNA_2, asRNA_3, asRNA_4	-0.59, -1.07, -0.62	0.270769331376662, 0.0494103460546726, 0.212092314399799
SACI_RS00045	DESeq2_RS0575KO_late	-0.42	0.0182823317456287	asRNA_2, asRNA_3, asRNA_4	0.13, 0.84, 0.7	0.779091777298673, 0.0787016355137092, 0.136826134076563
SACI_RS00045	DESeq2_RS0730KO_early	0.52	0.0032602454836697	asRNA_2, asRNA_3, asRNA_4	0.48, 0.38, -0.08	0.305681833701783, 0.402097677026204, 0.862494863606248
SACI_RS00045	DESeq2_RS0730KO_late	-0.38	0.0362450100200161	asRNA_2, asRNA_3, asRNA_4	-0.16, -0.33, -0.32	0.748505281840734, 0.560306715319581, 0.565670256950762
SACI_RS00045	DESeq2_RS2625KO_early	0.2	0.270449103060211	asRNA_2, asRNA_3, asRNA_4	-0.4, 0.6, 0.2	0.462525954947004, 0.199893859567146, 0.665279829562848
SACI_RS00045	DESeq2_RS2625KO_late	-0.46	0.0104317083786541	asRNA_2, asRNA_3, asRNA_4	0.32, 0.26, 0.08	0.485290988423621, 0.599792548619326, 0.878356531193735
SACI_RS00045	DESeq2_dKO_early	-0.44	0.0136634291295372	asRNA_2, asRNA_3, asRNA_4	-0.5, -0.68, -0.88	0.347306988581199, 0.187528490671668, 0.0868151097605751
SACI_RS00045	DESeq2_dKO_late	-0.21	0.233547547544791	asRNA_2, asRNA_3, asRNA_4	0.25, 0.45, 0.4	0.594020030064144, 0.353157595455248, 0.413669093929381
SACI_RS00045	DESeq2_post-starvation-030min	-0.95	2.7081880586952603e-09	asRNA_2, asRNA_3, asRNA_4	1.81, 1.75, -0.5	1.1003974185838202e-09, 3.20217112611988e-12, 0.0636426709163254
SACI_RS00045	DESeq2_post-starvation-060min	-0.82	2.38540497744415e-07	asRNA_2, asRNA_3, asRNA_4	1.75, 1.3, -0.33	4.1496453854762605e-09, 5.40208790251716e-07, 0.217896856040098
SACI_RS00045	DESeq2_post-starvation-090min	-0.96	1.65374570371397e-09	asRNA_2, asRNA_3, asRNA_4	0.81, 0.87, -0.35	0.0084452410620436, 0.0009923118358486, 0.192540930549548
SACI_RS00045	DESeq2_post-starvation-120min	-1.05	4.6638341228432794e-11	asRNA_2, asRNA_3, asRNA_4	0.46, 0.41, -0.56	0.140767561184838, 0.133517494009837, 0.0420619489748041
SACI_RS00045	DESeq2_post-starvation-240min	-1.03	1.35888860987971e-10	asRNA_2, asRNA_3, asRNA_4	-0.62, -0.01, -0.02	0.0667929658058795, 0.967210317495845, 0.947877111090628
SACI_RS00085	DESeq2-t15-Sacidocaldarius-HS	-1.78	1.53218597446836e-107	asRNA_5	-1.17	0.744307436822466
SACI_RS00085	DESeq2-t30-Sacidocaldarius-HS	-1.71	1.3936591039205601e-98	asRNA_5	-0.98	0.783477653059493
SACI_RS00085	DESeq2-t60-Sacidocaldarius-HS	-1.55	1.07258974520931e-83	asRNA_5	-0.44	0.90237362267112
SACI_RS00085	DESeq2_65C_pH_1_6_log	-0.94	1.41503494945496e-05	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_65C_pH_1_6_stat	1.25	0.0001039728837088	asRNA_5	1.9	0.84503010567529
SACI_RS00085	DESeq2_65C_pH_2_4_log	-0.5	0.0391301349268596	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_65C_pH_2_4_stat	0.34	0.15545154247476	asRNA_5	0.69	0.924776391343897
SACI_RS00085	DESeq2_65C_pH_3_5_log	-0.66	0.0444478070604217	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_65C_pH_3_5_stat	0.7	0.003866030658606	asRNA_5	2.64	0.716874600583428
SACI_RS00085	DESeq2_75C_pH_1_6_log	-0.03	0.908596584641697	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_75C_pH_1_6_stat	0.7	0.0039774438096642	asRNA_5	1.82	0.804147900911139
SACI_RS00085	DESeq2_75C_pH_2_4_stat	0.63	0.009573649281077	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_75C_pH_3_5_log	0.58	0.0699962650897342	asRNA_5	3.48	0.719363551297669
SACI_RS00085	DESeq2_75C_pH_3_5_stat	0.41	0.0923879042514932	asRNA_5	1.12	0.878600819368473
SACI_RS00085	DESeq2_80C_pH_1_6_log	0.51	0.0335796984790378	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_80C_pH_1_6_stat	0.83	0.0006191367325894	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_80C_pH_2_4_log	0.42	0.0794717428417717	asRNA_5	0.58	0.936793283831732
SACI_RS00085	DESeq2_80C_pH_2_4_stat	0.38	0.11409656126903	asRNA_5	1.24	0.865491976091818
SACI_RS00085	DESeq2_80C_pH_3_5_log	0.52	0.0311729316741222	asRNA_5	1.07	0.884579200135742
SACI_RS00085	DESeq2_80C_pH_3_5_stat	0.6	0.0124549431961022	asRNA_5	0.0	1.0
SACI_RS00085	DESeq2_RS0060KO_early	-0.03	0.803186718715296	asRNA_5	-1.16	0.613986776159184
SACI_RS00085	DESeq2_RS0060KO_late	-0.99	2.17429819042213e-13	asRNA_5	1.8	0.355273736136467
SACI_RS00085	DESeq2_RS0575KO_early	-0.16	0.230567322117342	asRNA_5	1.15	0.575252925200214
SACI_RS00085	DESeq2_RS0575KO_late	-1.18	6.529563880138e-18	asRNA_5	1.02	0.623347772502201
SACI_RS00085	DESeq2_RS0730KO_early	0.47	0.0004131841966697	asRNA_5	1.0	0.618310286452058
SACI_RS00085	DESeq2_RS0730KO_late	-0.87	4.1179390264774004e-10	asRNA_5	2.11	0.290076332104097
SACI_RS00085	DESeq2_RS2625KO_early	-0.07	0.60902949902756	asRNA_5	1.41	0.493034408764539
SACI_RS00085	DESeq2_RS2625KO_late	-1.1	8.276499989485e-16	asRNA_5	0.87	0.673006053343765
SACI_RS00085	DESeq2_dKO_early	-0.37	0.0062445482609699	asRNA_5	1.74	0.377902240029937
SACI_RS00085	DESeq2_dKO_late	-0.86	2.7423723722460203e-10	asRNA_5	1.69	0.392848705680638
SACI_RS00085	DESeq2_post-starvation-030min	0.13	0.418554178610627	asRNA_5	-0.33	0.578202382368465
SACI_RS00085	DESeq2_post-starvation-060min	0.28	0.0822888167434832	asRNA_5	-1.09	0.119941589452503
SACI_RS00085	DESeq2_post-starvation-090min	0.65	7.27975540561743e-05	asRNA_5	-0.9	0.179520980022162
SACI_RS00085	DESeq2_post-starvation-120min	0.85	2.02527590113345e-07	asRNA_5	1.08	0.0333905372087308
SACI_RS00085	DESeq2_post-starvation-240min	0.64	0.000100605684493	asRNA_5	0.56	0.302758561875703
SACI_RS00110	DESeq2-t15-Sacidocaldarius-HS	-1.59	1.44967999668429e-102	asRNA_8, asRNA_9	-0.03, -0.48	0.959275348531544, 0.381669821808089
SACI_RS00110	DESeq2-t30-Sacidocaldarius-HS	-1.71	1.13769672580649e-117	asRNA_8, asRNA_9	0.29, -0.49	0.621638695242999, 0.382453680491717
SACI_RS00110	DESeq2-t60-Sacidocaldarius-HS	-2.84	0.0	asRNA_8, asRNA_9	0.22, -0.48	0.707051098647673, 0.382465446373067
SACI_RS00110	DESeq2_65C_pH_1_6_log	0.62	9.75697635280647e-07	asRNA_8, asRNA_9	-0.38, 3.26	0.799633697128925, 0.0397376870536015
SACI_RS00110	DESeq2_65C_pH_1_6_stat	0.25	0.191445245914505	asRNA_8, asRNA_9	1.9, -0.22	0.477751429542849, 0.906618960066581
SACI_RS00110	DESeq2_65C_pH_2_4_log	0.43	0.002698754457238	asRNA_8, asRNA_9	2.49, 0.96	0.222499780108434, 0.481205231696198
SACI_RS00110	DESeq2_65C_pH_2_4_stat	0.36	0.01104586777573	asRNA_8, asRNA_9	4.87, 1.18	0.0132847050668397, 0.388609151530788
SACI_RS00110	DESeq2_65C_pH_3_5_log	0.66	0.0004866403348018	asRNA_8, asRNA_9	0.0, -0.6	1.0, 0.780404428231349
SACI_RS00110	DESeq2_65C_pH_3_5_stat	0.71	5.11456991595628e-07	asRNA_8, asRNA_9	3.01, 1.01	0.13969593766451, 0.467115455133123
SACI_RS00110	DESeq2_75C_pH_1_6_log	0.33	0.0195632428515536	asRNA_8, asRNA_9	1.07, -0.17	0.638937358087151, 0.908225923168235
