Gene	asRNA	Correlation	Correlation_pvalue	Num_experiments
SACI_RS01175	asRNA_97	-0.4605602318462387	0.005367051666086771	35
SACI_RS01180	asRNA_996			0
SACI_RS01225	asRNA_99	-0.28478472158570106	0.09728545853911745	35
SACI_RS01255	asRNA_100	-0.03487848865783752	0.8423328279870053	35
SACI_RS01255	asRNA_101	-0.2965983143100901	0.08360421117530338	35
SACI_RS01260	asRNA_101	-0.5357333410955322	0.0009109098569583958	35
SACI_RS01260	asRNA_102	-0.5282713970624895	0.001106574476322873	35
SACI_RS01270	asRNA_103	0.28565542070045113	0.09622229787277267	35
SACI_RS01275	asRNA_104	-0.04947452313078915	0.7777609196727158	35
SACI_RS01290	asRNA_105	0.22779962662211842	0.18813413546746713	35
SACI_RS01295	asRNA_106	-0.1406824023561264	0.42019530173364933	35
SACI_RS01305	asRNA_107	0.6472925681507773	2.63944953162665e-05	35
SACI_RS01340	asRNA_109	0.18242412101995842	0.2942360908316103	35
SACI_RS01370	asRNA_111	-0.2638018782660302	0.125704384168813	35
SACI_RS01375	asRNA_112	0.2170761963127937	0.21035111368410078	35
SACI_RS01380	asRNA_113	0.07823487521854237	0.6550770045976675	35
SACI_RS01390	asRNA_114	-0.13682467551180802	0.43317820068082774	35
SACI_RS01400	asRNA_997			0
SACI_RS01415	asRNA_115	-0.05699962579102741	0.7450053595339459	35
SACI_RS01415	asRNA_116	0.28797811151931335	0.0934295575577274	35
SACI_RS01420	asRNA_116	0.07945450641568205	0.6500401666362086	35
SACI_RS01425	asRNA_117	-0.183782084065494	0.29059494644596146	35
SACI_RS01440	asRNA_118	0.0730452872302027	0.676674476881481	35
SACI_RS01440	asRNA_119	0.4898790987705229	0.0028166395608985517	35
SACI_RS01450	asRNA_120	-0.3833369537353547	0.02301976653117737	35
SACI_RS01455	asRNA_121	0.2704275118274912	0.1161352533432308	35
SACI_RS01460	asRNA_122	-0.04314644914484874	0.8056032406948814	35
SACI_RS01470	asRNA_123	0.021461812664581133	0.9026039991720864	35
SACI_RS01520	asRNA_998			0
SACI_RS01540	asRNA_124	-0.017849608639691247	0.9189371974679016	35
SACI_RS01600	asRNA_125	-0.09055433408875598	0.604921989502785	35
SACI_RS01600	asRNA_126	-0.0983608493996409	0.5740183947958	35
SACI_RS01605	asRNA_127	0.10678901970139268	0.5414789087505528	35
SACI_RS01610	asRNA_127	0.17554381834756305	0.3131306466426933	35
SACI_RS01640	asRNA_128	-0.466759250861181	0.004704729777708517	35
SACI_RS01655	asRNA_129	-0.06539316722848465	0.7089839838793328	35
SACI_RS01675	asRNA_130	0.20377432224766123	0.24034204098349518	35
SACI_RS01680	asRNA_130	0.15475923162535962	0.3747118613183829	35
SACI_RS01730	asRNA_131	0.7013360949274409	2.691460459321252e-06	35
SACI_RS01735	asRNA_132	-0.3560174870779892	0.03581139012552691	35
SACI_RS01735	asRNA_133	-0.2875734826775898	0.09391155830520186	35
SACI_RS01750	asRNA_135	0.06690727211695625	0.7025490913877447	35
SACI_RS01755	asRNA_136	-0.0448987239928126	0.7978684302734144	35
SACI_RS01755	asRNA_137	0.18901705560956947	0.2768299604241953	35
SACI_RS01775	asRNA_138	0.18067265825475362	0.2989752181407226	35
SACI_RS01775	asRNA_139	-0.1638184893247801	0.3470434218267262	35
SACI_RS01780	asRNA_140	-0.3337886706121344	0.050040774436730814	35
SACI_RS01790	asRNA_141	0.1700030868367186	0.32888754604082404	35
SACI_RS01800	asRNA_142	0.2564911132246444	0.13692949757554523	35
SACI_RS01805	asRNA_143	0.18418125110832423	0.2895301711836348	35
SACI_RS01810	asRNA_1000			0
SACI_RS01830	asRNA_145	-0.39091457652118905	0.02023590373819458	35
SACI_RS01855	asRNA_146	0.30237383601705065	0.0774813126355836	35
SACI_RS01865	asRNA_147	-0.42484536842730886	0.010960942552877188	35
SACI_RS01875	asRNA_148	-0.584409860896677	0.00022754104578790306	35
SACI_RS01875	asRNA_149	-0.6096405127347216	0.00010127767501398207	35
SACI_RS01890	asRNA_150	0.22021339803932555	0.20367228901710405	35
SACI_RS01900	asRNA_151	0.5343199874741504	0.0009454326975748888	35
SACI_RS01920	asRNA_152	-0.6328455755967715	4.515427007555008e-05	35
SACI_RS01920	asRNA_153	-0.625725414991697	5.825558039889091e-05	35
SACI_RS01955	asRNA_154	0.3991869156860197	0.017522447015370732	35
SACI_RS01960	asRNA_155	0.4475169641331766	0.007026697364174559	35
SACI_RS01980	asRNA_157	-0.46584450733601485	0.0047977883760661096	35
SACI_RS01985	asRNA_157	-0.23739787518352615	0.16969583513797976	35
SACI_RS01985	asRNA_158	0.3438350184029102	0.04313386718312366	35
SACI_RS02000	asRNA_1001			0
SACI_RS02000	asRNA_159	-0.16573011928642137	0.3413677393856618	35
SACI_RS02040	asRNA_162	-0.32281840274513307	0.05856402114856779	35
SACI_RS02040	asRNA_163	-0.27848746449675127	0.10524316954784181	35
SACI_RS02040	asRNA_164	-0.30183663523068727	0.07803568656558472	35
SACI_RS02040	asRNA_165	-0.07945239126149566	0.6500488887027357	35
SACI_RS02050	asRNA_166	-0.36279748386442917	0.032195850103723944	35
SACI_RS02050	asRNA_167	-0.5557901073844559	0.0005277354008063963	35
SACI_RS02085	asRNA_168	-0.07929466715002523	0.6506994098667909	35
SACI_RS02085	asRNA_169	-0.3186710772719479	0.06207077274489309	35
SACI_RS02100	asRNA_170	-0.12402833474966793	0.47779006459456436	35
SACI_RS02100	asRNA_171	0.4820993248116858	0.003360566717298222	35
SACI_RS02120	asRNA_172	-0.019431794408682854	0.9117786642245012	35
SACI_RS02125	asRNA_173	0.21204630963191126	0.2213719258672043	35
SACI_RS02130	asRNA_174	0.137539919688154	0.4307545319786318	35
SACI_RS02135	asRNA_175	-0.5438406853305665	0.0007335494190220347	35
SACI_RS02170	asRNA_176	0.21799726299611172	0.2083747711667191	35
SACI_RS02230	asRNA_177	-0.560969781536299	0.0004557626016843289	35
SACI_RS02240	asRNA_178	0.08755852967536751	0.6169672385092166	35
SACI_RS02245	asRNA_178	0.10837206037492449	0.5354666735583844	35
SACI_RS02255	asRNA_179	-0.15207831971554361	0.38314232159736267	35
SACI_RS02260	asRNA_180	0.06034283289596165	0.7305890892231001	35
SACI_RS02265	asRNA_181	0.08741398888356153	0.6175509218609488	35
SACI_RS02270	asRNA_182	0.07775849123486726	0.6570484649384505	35
SACI_RS02275	asRNA_183	-0.17716081978372533	0.30862309650117986	35
SACI_RS02280	asRNA_184	0.006421180754041333	0.9707968426071684	35
SACI_RS02370	asRNA_186	-0.6092976192343812	0.0001024453138172363	35
SACI_RS02375	asRNA_187	0.19421671203361396	0.26358444363344485	35
SACI_RS02380	asRNA_187	0.46976128605510603	0.00441018391490961	35
SACI_RS02385	asRNA_188	-0.42428943524374696	0.011077069187195813	35
SACI_RS02385	asRNA_189	-0.25454421584119397	0.14003942179590145	35
SACI_RS02390	asRNA_190	-0.1036248943624482	0.5535914007860159	35
SACI_RS02390	asRNA_191	0.3028072920592031	0.0770362339609622	35
SACI_RS02425	asRNA_192	0.7263138122994971	7.850627690580505e-07	35
SACI_RS02425	asRNA_193	0.45476663374839205	0.006057085254614595	35
SACI_RS02470	asRNA_194	-0.18756036150362862	0.28061692299993307	35
SACI_RS02525	asRNA_195	-0.2490431432196659	0.1491063718895694	35
SACI_RS02530	asRNA_196	0.09141850430201355	0.6014662022573224	35
SACI_RS02540	asRNA_197	-0.35346182039901414	0.03725710499671799	35
SACI_RS02575	asRNA_198	0.3372703640827047	0.047553516395077745	35
SACI_RS02575	asRNA_199	0.3334152249132706	0.050313618300253715	35
SACI_RS02585	asRNA_1003			0
SACI_RS02585	asRNA_200	0.2705358991110427	0.11598338854606309	35
SACI_RS02615	asRNA_202	0.2459575360356232	0.15437541001144905	35
SACI_RS02640	asRNA_204	0.0442606181554669	0.8006829782802232	35
SACI_RS02650	asRNA_205	0.16709597122574094	0.33734740973324273	35
SACI_RS02665	asRNA_206	-0.08717234287748621	0.6185272491132652	35
SACI_RS02670	asRNA_207	-0.0792863522038938	0.6507337112808149	35
SACI_RS02675	asRNA_208	0.06398494146782878	0.7612367015886898	25
SACI_RS02685	asRNA_209	0.6434215112932278	3.056145117686781e-05	35
SACI_RS02690	asRNA_210	0.699233703310174	2.968678793493674e-06	35
SACI_RS02705	asRNA_211	-0.20387983546986255	0.24009339999250134	35
SACI_RS02705	asRNA_212	0.3105995108413239	0.06936909070600251	35
SACI_RS02730	asRNA_215	0.4130336851184096	0.013662292914219446	35
SACI_RS02825	asRNA_216	-0.01242281673385616	0.9435347426939457	35
SACI_RS02860	asRNA_222	0.030617381847573774	0.86139607956662	35
SACI_RS02860	asRNA_223	-0.05047113804776892	0.7733997534723143	35
SACI_RS02865	asRNA_224	0.32593464667943717	0.056033821882702096	35
SACI_RS02865	asRNA_225	0.21793511435764254	0.20850771887726335	35
SACI_RS02875	asRNA_226	0.5638257194948364	0.0004199329891115261	35
SACI_RS02880	asRNA_226	0.14653957372469933	0.40090657784198663	35
SACI_RS02885	asRNA_227	-0.11830257995972404	0.49849960185006115	35
SACI_RS02885	asRNA_228	0.008469188119852967	0.9614886910999639	35
SACI_RS02885	asRNA_229	0.5027478563123539	0.0020841131849154925	35
SACI_RS02890	asRNA_229	0.610447625363778	9.857634876365518e-05	35
SACI_RS02910	asRNA_231	0.38151326199356395	0.02373508890787969	35
SACI_RS02910	asRNA_232	0.458429649346372	0.00561250229274142	35
SACI_RS02920	asRNA_233	-0.4474223217215985	0.0070401857565051485	35
SACI_RS02925	asRNA_234	-0.3503461531943776	0.03908330494514629	35
SACI_RS02930	asRNA_234	-0.42707138314166115	0.010506234652074006	35
SACI_RS02930	asRNA_235	0.5960267300386236	0.00015806687601676756	35
SACI_RS02940	asRNA_236	-0.22505616969025505	0.1936539159372871	35
SACI_RS02940	asRNA_237	-0.2496824850098646	0.14803119522837085	35
SACI_RS02945	asRNA_238	0.6633333769263006	1.4060327294123458e-05	35
SACI_RS02950	asRNA_239	0.47480243134046296	0.003951342830538353	35
SACI_RS02960	asRNA_240	0.10280659690436589	0.5567443644752019	35
SACI_RS02965	asRNA_240	-0.019144735152505327	0.9130769612916934	35
SACI_RS02965	asRNA_241	-0.29510927696270417	0.08524181024961978	35
SACI_RS02970	asRNA_242	-0.46025688607681725	0.005401423828185785	35
SACI_RS02980	asRNA_243	0.3073878306305133	0.07245338826656281	35
SACI_RS02980	asRNA_244	0.5252634986990756	0.00119536734287582	35
SACI_RS03000	asRNA_245	0.6695695683439544	1.0894786713123025e-05	35
SACI_RS03005	asRNA_245	0.47517396948114	0.003919224383927941	35
SACI_RS03020	asRNA_246	-0.075368793096255	0.6669721120937964	35
SACI_RS03065	asRNA_1004			0
SACI_RS03080	asRNA_249	0.12365696994265689	0.47911949682699667	35
SACI_RS03110	asRNA_250	-0.16365917134081245	0.3475190119312992	35
SACI_RS03120	asRNA_254	-0.3817271595015543	0.02365025006860463	35
SACI_RS03120	asRNA_255	0.42093079621312685	0.01180103008304335	35
SACI_RS03125	asRNA_256	0.02333606116880535	0.894144308213887	35
SACI_RS03125	asRNA_257	0.30187980379593227	0.0779910245333031	35
SACI_RS03130	asRNA_257	0.07516682378388352	0.6678134072907974	35
SACI_RS03145	asRNA_258	0.4093047952035209	0.014623598870459662	35
SACI_RS03165	asRNA_261	0.09643584469723804	0.5815723483484608	35
SACI_RS03180	asRNA_262	-0.6317330962237859	4.7007472198380724e-05	35
SACI_RS03195	asRNA_264	0.43621089785690376	0.008803152044231854	35
SACI_RS03210	asRNA_267	0.5106701914348015	0.0017212504769480105	35
SACI_RS03215	asRNA_268	-0.5025944194987688	0.0020917551506832296	35
SACI_RS03230	asRNA_1005			0
SACI_RS03235	asRNA_269	0.5546357038285334	0.0005450885946071105	35
SACI_RS03260	asRNA_271	-0.15371502807701026	0.37798239836705566	35
SACI_RS03275	asRNA_272	-0.11678699552064746	0.5040564655060679	35
SACI_RS03295	asRNA_274	-0.42958243341124136	0.01001260079444025	35
SACI_RS03335	asRNA_279	-0.28415181716837534	0.09806386464969385	35
SACI_RS03335	asRNA_280	-0.372611080952617	0.027495834690821227	35
SACI_RS03340	asRNA_280	-0.017107493696278293	0.9222970598527687	35
SACI_RS03340	asRNA_281	-0.18433732575483705	0.2891145254665781	35
SACI_RS03345	asRNA_282	0.7568262352372941	1.43620529921345e-07	35
SACI_RS03345	asRNA_283	0.6475807735482542	2.610587820437648e-05	35
SACI_RS03350	asRNA_284	-0.4257943656741748	0.0107650929004696	35
